Stock,Ticker,Close,Adj_Close,RSI,Vol_Spike,Action,1Y_Return_%,Rank
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS,591.2,591.2,36.53,0.98,CONTRA BUY,-13.67,2
Cipla Ltd.,CIPLA.NS,1224.4,1224.4,38.86,1.43,CONTRA BUY,-13.51,2
Coal India Ltd.,COALINDIA.NS,454.1,454.1,53.8,0.67,BUILD,21.22,4
Power Grid Corporation of India Ltd.,POWERGRID.NS,298.1,298.1,54.21,1.01,BUILD,1.6,4
NTPC Ltd.,NTPC.NS,378.65,378.65,55.0,1.21,BUILD,8.39,4
Bharat Electronics Ltd.,BEL.NS,439.75,439.75,55.44,1.13,BUILD,56.97,4
JSW Steel Ltd.,JSWSTEEL.NS,1209.7,1209.7,56.41,1.16,BUILD,27.94,4
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,9517.0,9517.0,56.95,1.39,BUILD,25.68,4
Axis Bank Ltd.,AXISBANK.NS,1318.5,1318.5,58.49,0.75,BUILD,24.19,4
Tata Steel Ltd.,TATASTEEL.NS,205.2,205.2,58.97,1.04,BUILD,61.35,4
Titan Company Ltd.,TITAN.NS,4439.8,4439.8,63.58,1.11,BUILD,39.87,4
Hindalco Industries Ltd.,HINDALCO.NS,985.65,985.65,64.1,1.29,BUILD,74.76,4
Oil & Natural Gas Corporation Ltd.,ONGC.NS,288.6,288.6,64.8,0.56,SELL,30.04,5
Eternal Ltd.,ETERNAL.NS,237.89,237.89,48.74,0.68,EXIT,12.54,6
Infosys Ltd.,INFY.NS,1331.6,1331.6,54.21,1.21,EXIT,-5.14,6
Tech Mahindra Ltd.,TECHM.NS,1461.6,1461.6,57.55,0.75,EXIT,14.84,6
Max Healthcare Institute Ltd.,MAXHEALTH.NS,954.95,954.95,40.24,1.1,HOLD,-14.98,8
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,1211.9,1211.9,40.8,1.34,HOLD,10.77,8
Reliance Industries Ltd.,RELIANCE.NS,1330.0,1330.0,40.99,1.01,HOLD,12.2,8
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,1717.1,1717.1,43.68,1.11,HOLD,3.93,8
State Bank of India,SBIN.NS,1040.95,1040.95,44.92,1.36,HOLD,40.25,8
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,371.9,371.9,46.07,0.52,HOLD,-9.41,8
Hindustan Unilever Ltd.,HINDUNILVR.NS,2133.2,2133.2,46.4,1.17,HOLD,-9.23,8
HDFC Bank Ltd.,HDFCBANK.NS,797.7,797.7,46.69,0.77,HOLD,-9.61,8
Jio Financial Services Ltd.,JIOFIN.NS,238.84,238.84,48.69,1.18,HOLD,8.11,8
Bajaj Finserv Ltd.,BAJAJFINSV.NS,1767.7,1767.7,48.81,0.82,HOLD,-6.75,8
ICICI Bank Ltd.,ICICIBANK.NS,1281.3,1281.3,50.01,1.17,HOLD,-1.5,8
ITC Ltd.,ITC.NS,303.0,303.0,50.03,0.71,HOLD,-27.22,8
Tata Consumer Products Ltd.,TATACONSUM.NS,1078.0,1078.0,50.45,1.29,HOLD,-1.08,8
Mahindra & Mahindra Ltd.,M&M.NS,3166.8,3166.8,50.52,0.76,HOLD,25.51,8
SBI Life Insurance Company Ltd.,SBILIFE.NS,1904.0,1904.0,50.81,1.12,HOLD,28.51,8
Asian Paints Ltd.,ASIANPAINT.NS,2269.6,2269.6,50.83,1.47,HOLD,-5.87,8
UltraTech Cement Ltd.,ULTRACEMCO.NS,11448.0,11448.0,51.31,0.76,HOLD,0.45,8
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,7481.5,7481.5,51.46,0.9,HOLD,9.47,8
Bharti Airtel Ltd.,BHARTIARTL.NS,1859.4,1859.4,51.48,0.95,HOLD,8.39,8
Nestle India Ltd.,NESTLEIND.NS,1228.7,1228.7,52.05,0.91,HOLD,4.8,8
Eicher Motors Ltd.,EICHERMOT.NS,7147.5,7147.5,52.3,0.89,HOLD,35.93,8
InterGlobe Aviation Ltd.,INDIGO.NS,4449.1,4449.1,52.41,0.84,HOLD,-14.34,8
Bajaj Finance Ltd.,BAJFINANCE.NS,903.25,903.25,52.94,0.75,HOLD,3.4,8
Shriram Finance Ltd.,SHRIRAMFIN.NS,996.3,996.3,53.17,0.71,HOLD,59.52,8
Wipro Ltd.,WIPRO.NS,202.87,202.87,54.43,0.77,HOLD,-14.27,8
Maruti Suzuki India Ltd.,MARUTI.NS,13589.0,13589.0,54.64,0.85,HOLD,18.6,8
Grasim Industries Ltd.,GRASIM.NS,2740.5,2740.5,54.94,0.63,HOLD,7.14,8
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,1447.4,1447.4,55.25,1.04,HOLD,27.88,8
Larsen & Toubro Ltd.,LT.NS,3896.2,3896.2,55.6,0.9,HOLD,27.57,8
Adani Enterprises Ltd.,ADANIENT.NS,2040.5,2040.5,56.05,1.01,HOLD,-8.78,8
Trent Ltd.,TRENT.NS,3850.7,3850.7,57.11,0.58,HOLD,-16.66,8
Tata Consultancy Services Ltd.,TCS.NS,2589.0,2589.0,58.02,1.39,HOLD,-20.26,8
HCL Technologies Ltd.,HCLTECH.NS,1464.9,1464.9,62.4,0.85,HOLD,6.15,8
