Stock,Ticker,Close,Adj_Close,RSI,Vol_Spike,Action,1Y_Return_%,Rank
Samvardhana Motherson International Ltd.,MOTHERSON.NS,125.03,125.03,59.93,0.71,BUILD,44.63,4
Hindustan Zinc Ltd.,HINDZINC.NS,592.3,592.3,61.38,0.47,BUILD,34.71,4
Cummins India Ltd.,CUMMINSIND.NS,5140.9,5140.9,64.4,0.54,BUILD,77.81,4
Jindal Steel Ltd.,JINDALSTEL.NS,1270.0,1270.0,65.28,1.72,BUILD,44.04,4
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,774.8,774.8,67.31,1.45,BUILD,25.0,4
Power Finance Corporation Ltd.,PFC.NS,464.85,464.85,71.57,0.94,BUILD,9.71,4
Siemens Ltd.,SIEMENS.NS,3707.9,3707.9,71.99,1.96,BUILD,31.95,4
ABB India Ltd.,ABB.NS,7029.5,7029.5,73.44,1.45,BUILD,26.17,4
Vedanta Ltd.,VEDL.NS,787.5,787.5,74.9,0.61,BUILD,96.85,4
Adani Energy Solutions Ltd.,ADANIENSOL.NS,1259.8,1259.8,76.52,1.74,BUILD,37.81,4
Adani Power Ltd.,ADANIPOWER.NS,198.5,198.5,86.28,1.9,BUILD,80.55,4
GAIL (India) Ltd.,GAIL.NS,157.82,157.82,60.83,0.85,EXIT,-15.6,6
Indian Oil Corporation Ltd.,IOC.NS,145.88,145.88,48.65,0.51,HOLD,8.62,8
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,4179.5,4179.5,50.07,0.75,HOLD,28.41,8
Hyundai Motor India Ltd.,HYUNDAI.NS,1902.8,1902.8,52.04,1.41,HOLD,14.51,8
United Spirits Ltd.,UNITDSPR.NS,1302.9,1302.9,52.7,1.82,HOLD,-14.16,8
Bank of Baroda,BANKBARODA.NS,280.44,280.44,52.96,0.58,HOLD,15.5,8
Bharat Petroleum Corporation Ltd.,BPCL.NS,312.1,312.1,53.34,0.65,HOLD,4.61,8
Britannia Industries Ltd.,BRITANNIA.NS,5735.5,5735.5,53.5,0.88,HOLD,5.15,8
Punjab National Bank,PNB.NS,114.48,114.48,53.89,0.71,HOLD,15.06,8
Ambuja Cements Ltd.,AMBUJACEM.NS,459.0,459.0,54.86,0.53,HOLD,-19.45,8
Canara Bank,CANBK.NS,142.37,142.37,55.5,0.55,HOLD,48.27,8
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,1579.0,1579.0,55.57,0.48,HOLD,-0.52,8
Pidilite Industries Ltd.,PIDILITIND.NS,1393.4,1393.4,55.77,1.73,HOLD,-8.16,8
TVS Motor Company Ltd.,TVSMOTOR.NS,3735.8,3735.8,55.96,0.58,HOLD,39.43,8
Union Bank of India,UNIONBANK.NS,188.91,188.91,57.1,0.48,HOLD,49.23,8
Divi's Laboratories Ltd.,DIVISLAB.NS,6229.0,6229.0,57.67,0.55,HOLD,10.44,8
Godrej Consumer Products Ltd.,GODREJCP.NS,1109.4,1109.4,58.06,1.03,HOLD,-10.48,8
Shree Cement Ltd.,SHREECEM.NS,25290.0,25290.0,58.82,0.4,HOLD,-18.42,8
Lodha Developers Ltd.,LODHA.NS,872.55,872.55,58.96,0.46,HOLD,-29.41,8
Muthoot Finance Ltd.,MUTHOOTFIN.NS,3571.3,3571.3,59.38,0.52,HOLD,69.13,8
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,10355.5,10355.5,59.68,0.8,HOLD,-13.38,8
Indian Hotels Co. Ltd.,INDHOTEL.NS,659.3,659.3,59.78,0.85,HOLD,-21.62,8
Indian Railway Finance Corporation Ltd.,IRFC.NS,104.84,104.84,61.35,1.76,HOLD,-19.03,8
DLF Ltd.,DLF.NS,601.75,601.75,62.12,0.7,HOLD,-10.11,8
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,943.95,943.95,64.41,0.78,HOLD,13.52,8
HDFC Asset Management Company Ltd.,HDFCAMC.NS,2792.4,2792.4,65.32,1.39,HOLD,32.4,8
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,2616.4,2616.4,65.38,1.11,HOLD,-3.48,8
Siemens Energy India Ltd.,ENRIN.NS,3019.6,3019.6,67.1,1.51,HOLD,10.41,8
REC Ltd.,RECLTD.NS,373.3,373.3,67.53,1.57,HOLD,-12.9,8
Bosch Ltd.,BOSCHLTD.NS,37505.0,37505.0,67.9,0.49,HOLD,36.36,8
Solar Industries India Ltd.,SOLARINDS.NS,15089.0,15089.0,68.45,0.73,HOLD,23.35,8
Varun Beverages Ltd.,VBL.NS,473.9,473.9,70.76,1.76,HOLD,-14.88,8
Hindustan Aeronautics Ltd.,HAL.NS,4388.1,4388.1,71.13,0.7,HOLD,3.97,8
Avenue Supermarts Ltd.,DMART.NS,4628.5,4628.5,71.86,1.44,HOLD,6.23,8
Tata Power Co. Ltd.,TATAPOWER.NS,427.6,427.6,73.11,0.69,HOLD,12.03,8
Adani Green Energy Ltd.,ADANIGREEN.NS,1127.3,1127.3,76.7,1.16,HOLD,19.02,8
